tweet,label_sentimen
"kalo udah mulai normal lagi, udah pada sekolah kuliah offline, udah full wfo juga, gakebayang bakal semembludak apa jalanan 🙌🏻",1
"pdhl brg2 jg glama pas msh offline, tau2 sekolah online n malah bikin kita makin dkt, hampir 3th temenan sama kalian bnr2 bikin gua ngerasa Allah baik bgt sama gua, gua yg sampe skg gasudi kenal sm tmn SMP, dikirim tmn2 super baik yg sll bikin gua mau ngenang masa SMA https://t.co/h25Qe4lhcc",-1
"[cm] kalo sidang offline berkas² pas penelitian tuh pake dibawa atau nggak? misal yg penelitian di sekolah, itu harus bawa jawaban lembar pretest posttest nya siswa²?",1
"@subschfess campur². ada senengnya, cnth kl ketemu crush di sekolah jiakh, ada tegangnya, cnth ulangan offline, ada sedihnya, cnth pas mau ulangan tp sadar diri kl gada materi yg masuk alias anjeng bgt, w ngerasa bodoh bgt loch, ada stresnya, cnth saat memikirkan harus lanjut kemana hbs SMA",-1
"gue dulu pacaran uwunya masih era offline nder. jadi jarang post di sosmed. lebih ke real dihadapan banyak orang. kantin, koridor, temen, dan guru di sekolah adalah saksi bisu pacaran gue dulu:) https://t.co/Do4fJvblBg",1
Syapa yg bingung takut nilai geblog karna tbtb ulangan offline dan pake tab dari sekolah dan hpnya harus di kumpulin tapi kerjaannya scroll tiktok dan mikirin hal yang lain?,1
@schfess transisi sekolah online ke sekolah offline,0
@samsungID BANYAK BANGET KENANGAN SEKOLAH OFFLINE PAKE SERIES J INI😭😭😭😭 jujur sedih buat say #ThankYouGalaxyJ but buat keperluan yang lebih terjamin kayanya emg harus upgrade ke #GalaxyA03 yang speknya udah lebih jauh nih😍😍 semoga di lirik mimin @samsungID 😍🙌,1
@vheyvhii wkwkwkwkwk sekolah kali ah offline,1
"@samsungID #ThankYouGalaxyJ udah nemenin jaman sekolah offline, karena sekarang online jadi Pasti lebih banyak kebutuhan yang harus nge upgrade ke #GalaxyA03 
Yuk ikutan challenge @samsungID @seneority @roselasfl @minhgyuo",0
"@subschfess Kalau aku sendiri waktu kls 12 kyk orang Ling lung,  GA sekolah offline, di rumah ga fokus. Belajar ke ganggu. 😔 beneran bingung bgt awalnya, ancur, gatau mau gimana, stres bgtt. Semua nggak ada hentinya, belajar, sekolah, ujian, cari cuan, repeat lageee",1
"kebutuhan kelas 12; buku UTBK, les online/offline, try out, yearbook, purnawiyata (krn udh lebih bebas), yg lain tergantung sekolah masing-masing",0
